DomainLabel,REGION,activity,RENELC,VarName,Mean,LowerCLMean,StdErr,UpperCLMean
REGION*activity*RENELC,Northeast,Education,Yes,bleu,6.056864,4.3526938,0.864149,7.7610341
REGION*activity*RENELC,Northeast,Education,No,bleu,7.055293,5.1566629,0.962756,8.9539238
REGION*activity*RENELC,Northeast,Office,Yes,bleu,9.522513,6.9897573,1.284307,12.0552688
REGION*activity*RENELC,Northeast,Office,No,bleu,11.235080,9.2051500,1.029335,13.2650104
REGION*activity*RENELC,Northeast,Service,Yes,bleu,8.254012,1.4328603,3.458863,15.0751636
REGION*activity*RENELC,Northeast,Service,No,bleu,8.756982,5.9738309,1.411278,11.5401338
REGION*activity*RENELC,Northeast,Shopping,Yes,bleu,15.054267,11.3361584,1.885375,18.7723750
REGION*activity*RENELC,Northeast,Shopping,No,bleu,12.774842,9.0392940,1.894218,16.5103903
REGION*activity*RENELC,Northeast,Warehouse,Yes,bleu,5.175156,1.3283070,1.950657,9.0220046
REGION*activity*RENELC,Northeast,Warehouse,No,bleu,4.313233,3.0894919,0.620534,5.5369749
REGION*activity*RENELC,Midwest,Education,Yes,bleu,11.124134,4.9569233,3.127264,17.2913456
REGION*activity*RENELC,Midwest,Education,No,bleu,9.753955,7.9268925,0.926465,11.5810175
REGION*activity*RENELC,Midwest,Office,Yes,bleu,10.538424,7.3016756,1.641287,13.7751729
REGION*activity*RENELC,Midwest,Office,No,bleu,12.252389,10.1289250,1.076764,14.3758520
REGION*activity*RENELC,Midwest,Service,Yes,bleu,8.944497,4.1424599,2.435013,13.7465351
REGION*activity*RENELC,Midwest,Service,No,bleu,8.305357,6.3448338,0.994140,10.2658800
REGION*activity*RENELC,Midwest,Shopping,Yes,bleu,15.704392,5.2879431,5.281963,26.1208417
REGION*activity*RENELC,Midwest,Shopping,No,bleu,15.075689,12.6724862,1.218614,17.4788927
REGION*activity*RENELC,Midwest,Warehouse,Yes,bleu,8.522621,2.5312408,3.038103,14.5140012
REGION*activity*RENELC,Midwest,Warehouse,No,bleu,3.994167,3.2478943,0.378419,4.7404401
REGION*activity*RENELC,South,Education,Yes,bleu,15.334830,5.4140401,5.030625,25.2556202
REGION*activity*RENELC,South,Education,No,bleu,14.278025,12.3560158,0.974611,16.2000340
REGION*activity*RENELC,South,Office,Yes,bleu,12.006257,9.5268252,1.257268,14.4856888
REGION*activity*RENELC,South,Office,No,bleu,14.559146,12.9977796,0.791736,16.1205128
REGION*activity*RENELC,South,Service,Yes,bleu,8.871343,5.4287868,1.745648,12.3138986
REGION*activity*RENELC,South,Service,No,bleu,11.428960,8.9333473,1.265473,13.9245721
REGION*activity*RENELC,South,Shopping,Yes,bleu,21.612397,12.1889022,4.778457,31.0358926
REGION*activity*RENELC,South,Shopping,No,bleu,17.106341,15.1854729,0.974032,19.0272094
REGION*activity*RENELC,South,Warehouse,Yes,bleu,10.543782,6.8185822,1.888971,14.2689826
REGION*activity*RENELC,South,Warehouse,No,bleu,7.792846,4.7170492,1.559672,10.8686423
REGION*activity*RENELC,West,Education,Yes,bleu,12.942832,1.0920346,6.009292,24.7936304
REGION*activity*RENELC,West,Education,No,bleu,8.939035,7.4324163,0.763975,10.4456544
REGION*activity*RENELC,West,Office,Yes,bleu,9.935118,8.4542881,0.750898,11.4159475
REGION*activity*RENELC,West,Office,No,bleu,13.990645,11.4793563,1.273422,16.5019333
REGION*activity*RENELC,West,Service,Yes,bleu,6.834132,1.9288142,2.487384,11.7394504
REGION*activity*RENELC,West,Service,No,bleu,9.393935,6.5474712,1.443382,12.2403997
REGION*activity*RENELC,West,Shopping,Yes,bleu,11.217158,4.4703593,3.421160,17.9639564
REGION*activity*RENELC,West,Shopping,No,bleu,16.439742,12.8621808,1.814106,20.0173027
REGION*activity*RENELC,West,Warehouse,Yes,bleu,4.422775,2.1816101,1.136448,6.6639399
REGION*activity*RENELC,West,Warehouse,No,bleu,5.166031,4.1390041,0.520784,6.1930573
